"date","area_id","area_name","district","day_of_week","is_weekend","matched_store_count","food_count","cafe_count","retail_count","accommodation_count","tourism_score","tourist_spot_count","event_count","culture_count","visitor_count_gu","visitor_growth","visitor_score","temp","rain_mm","rain_flag","weather_score","commercial_score","tourism_component_score","visitor_component_score","event_component_score","weather_component_score","demand_score"
"2026-06-04","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","23.6","0","0","87.1","100","74","92.8","45","87.1","84.9"
"2026-06-05","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","163056","14.5","86.8","24","8.7","1","60.7","100","74","86.8","45","60.7","78.1"
"2026-06-06","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","185072","14.5","99.6","24.4","0","0","85.9","100","74","99.6","63","85.9","88.2"
"2026-06-07","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","24.7","0","0","85.4","100","74","100","63","85.4","88.2"
"2026-06-08","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","25","0","0","85","100","74","90.4","45","85","83.9"
"2026-06-09","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","25.4","0","0","84.4","100","74","91.6","45","84.4","84.1"
"2026-06-10","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","167184","14.5","89.2","25.8","8.7","1","58","100","74","89.2","45","58","78.2"
"2026-06-11","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","26.1","0","0","83.4","100","74","90.4","45","83.4","83.6"
"2026-06-12","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","21.6","0","0","85.9","100","74","91.6","45","85.9","84.4"
"2026-06-13","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","21.9","0","0","86.4","100","74","100","63","86.4","88.4"
"2026-06-14","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","183008","14.5","98.4","22.2","0","0","86.8","100","74","98.4","63","86.8","88.1"
"2026-06-15","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","22.6","0","0","87.4","100","74","91.6","45","87.4","84.7"
"2026-06-16","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","167184","14.5","89.2","23","10.5","1","60.6","100","74","89.2","45","60.6","78.7"
"2026-06-17","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","23.3","0","0","87.6","100","74","90.4","45","87.6","84.4"
"2026-06-18","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","23.6","0","0","87.1","100","74","91.6","45","87.1","84.6"
"2026-06-19","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","24","0","0","86.5","100","74","92.8","45","86.5","84.8"
"2026-06-20","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","183008","14.5","98.4","24.4","0","0","85.9","100","74","98.4","63","85.9","87.9"
"2026-06-21","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","178880","14.5","96","24.7","10.5","1","58","100","74","96","63","58","81.7"
"2026-06-22","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","25","0","0","85","100","74","92.8","45","85","84.5"
"2026-06-23","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","25.4","0","0","84.4","100","74","90.4","45","84.4","83.8"
"2026-06-24","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","25.8","0","0","83.8","100","74","91.6","45","83.8","84"
"2026-06-25","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","26.1","0","0","83.4","100","74","92.8","45","83.4","84.2"
"2026-06-26","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","21.6","0","0","85.9","100","74","90.4","45","85.9","84.1"
"2026-06-27","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","178880","14.5","96","21.9","12.3","1","57.3","100","74","96","63","57.3","81.6"
"2026-06-28","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","22.2","0","0","86.8","100","74","100","63","86.8","88.5"
"2026-06-29","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","22.6","0","0","87.4","100","74","90.4","45","87.4","84.4"
"2026-05-01","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","98000","11","78","20.8","0","0","84.7","0","86","78","27","84.7","56.3"
"2026-05-02","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","104468","11","84.6","21.1","0","0","85.2","0","86","84.6","36","85.2","59"
"2026-05-03","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","102508","11","82.6","21.4","0","0","85.6","0","86","82.6","36","85.6","58.6"
"2026-05-04","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","99176","11","79.2","21.8","0","0","86.2","0","86","79.2","27","86.2","56.9"
"2026-05-05","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","93296","11","73.2","22.2","18.9","1","51.8","0","86","73.2","27","51.8","48.6"
"2026-05-06","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","98784","11","78.8","22.5","0","0","87.2","0","86","78.8","27","87.2","57"
"2026-05-07","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","96824","11","76.8","22.8","0","0","87.7","0","86","76.8","27","87.7","56.6"
"2026-05-08","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","98392","11","78.4","23.2","0","0","87.7","0","86","78.4","27","87.7","57"
"2026-05-09","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","101332","11","81.4","23.6","0","0","87.1","0","86","81.4","36","87.1","58.6"
"2026-05-10","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","102900","11","83","23.9","0","0","86.6","0","86","83","36","86.6","58.9"
"2026-05-11","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","95648","11","75.6","24.2","11.7","1","57.7","0","86","75.6","27","57.7","50.3"
"2026-05-12","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","97608","11","77.6","24.6","0","0","85.6","0","86","77.6","27","85.6","56.4"
"2026-05-13","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","99176","11","79.2","25","0","0","85","0","86","79.2","27","85","56.7"
"2026-05-14","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","97216","11","77.2","25.3","0","0","84.6","0","86","77.2","27","84.6","56.1"
"2026-05-15","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","98784","11","78.8","20.8","0","0","84.7","0","86","78.8","27","84.7","56.5"
"2026-05-16","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","97804","11","77.8","21.1","11.7","1","56.6","0","86","77.8","36","56.6","51.6"
"2026-05-17","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","103292","11","83.4","21.4","0","0","85.6","0","86","83.4","36","85.6","58.8"
"2026-05-18","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","96432","11","76.4","21.8","0","0","86.2","0","86","76.4","27","86.2","56.2"
"2026-05-19","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","98000","11","78","22.2","0","0","86.8","0","86","78","27","86.8","56.8"
"2026-05-20","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","99568","11","79.6","22.5","0","0","87.2","0","86","79.6","27","87.2","57.2"
"2026-05-21","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","97608","11","77.6","22.8","0","0","87.7","0","86","77.6","27","87.7","56.8"
"2026-05-22","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","95256","11","75.2","23.2","13.5","1","57.6","0","86","75.2","27","57.6","50.2"
"2026-05-23","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","102116","11","82.2","23.6","0","0","87.1","0","86","82.2","36","87.1","58.8"
"2026-05-24","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","103684","11","83.8","23.9","0","0","86.6","0","86","83.8","36","86.6","59.1"
"2026-05-25","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","96824","11","76.8","24.2","0","0","86.2","0","86","76.8","27","86.2","56.3"
"2026-05-26","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","98392","11","78.4","24.6","0","0","85.6","0","86","78.4","27","85.6","56.6"
"2026-05-27","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","92512","11","72.4","25","13.5","1","54.8","0","86","72.4","27","54.8","49"
"2026-05-28","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","98000","11","78","25.3","0","0","84.6","0","86","78","27","84.6","56.3"
"2026-05-29","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","99568","11","79.6","20.8","0","0","84.7","0","86","79.6","27","84.7","56.7"
"2026-05-30","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","102508","11","82.6","21.1","0","0","85.2","0","86","82.6","36","85.2","58.5"
"2026-05-31","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","104076","11","84.2","21.4","0","0","85.6","0","86","84.2","36","85.6","59"
"2026-06-01","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","97216","11","77.2","21.8","0","0","86.2","0","86","77.2","27","86.2","56.4"
"2026-06-02","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","94864","11","74.8","22.2","15.3","1","55","0","86","74.8","27","55","49.6"
"2026-06-03","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","96824","11","76.8","22.5","0","0","87.2","0","86","76.8","27","87.2","56.5"
"2026-06-04","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","98392","11","78.4","22.8","0","0","87.7","0","86","78.4","27","87.7","57"
"2026-06-05","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","96432","11","76.4","23.2","0","0","87.7","0","86","76.4","27","87.7","56.5"
"2026-06-06","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","102900","11","83","23.6","0","0","87.1","0","86","83","36","87.1","59"
"2026-06-07","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","100548","11","80.6","23.9","15.3","1","54.9","0","86","80.6","36","54.9","51.9"
"2026-06-08","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","97608","11","77.6","24.2","0","0","86.2","0","86","77.6","27","86.2","56.5"
"2026-06-09","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","99176","11","79.2","24.6","0","0","85.6","0","86","79.2","27","85.6","56.8"
"2026-06-10","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","97216","11","77.2","25","0","0","85","0","86","77.2","27","85","56.2"
"2026-06-11","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","98784","11","78.8","25.3","0","0","84.6","0","86","78.8","27","84.6","56.5"
"2026-06-12","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","96824","11","76.8","20.8","0","0","84.7","0","86","76.8","27","84.7","56"
"2026-06-13","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","99372","11","79.4","21.1","17.1","1","51.8","0","86","79.4","36","51.8","51"
"2026-06-14","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","101332","11","81.4","21.4","0","0","85.6","0","86","81.4","36","85.6","58.3"
"2026-06-15","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","98000","11","78","21.8","0","0","86.2","0","86","78","27","86.2","56.6"
"2026-06-16","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","99568","11","79.6","22.2","0","0","86.8","0","86","79.6","27","86.8","57.2"
"2026-06-17","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","97608","11","77.6","22.5","0","0","87.2","0","86","77.6","27","87.2","56.7"
"2026-06-18","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","95256","11","75.2","22.8","17.1","1","54.3","0","86","75.2","27","54.3","49.6"
"2026-06-19","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","97216","11","77.2","23.2","0","0","87.7","0","86","77.2","27","87.7","56.7"
"2026-06-20","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","103684","11","83.8","23.6","0","0","87.1","0","86","83.8","36","87.1","59.2"
"2026-06-21","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","101724","11","81.8","23.9","0","0","86.6","0","86","81.8","36","86.6","58.6"
"2026-06-22","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","98392","11","78.4","24.2","0","0","86.2","0","86","78.4","27","86.2","56.7"
"2026-06-23","A002","양림동 역사문화마을","남구","1","0","905","259","22","306","23","86","16","3","9","96432","11","76.4","24.6","0","0","85.6","0","86","76.4","27","85.6","56.1"
"2026-06-24","A002","양림동 역사문화마을","남구","2","0","905","259","22","306","23","86","16","3","9","94080","11","74","25","18.9","1","50","0","86","74","27","50","48.4"
"2026-06-25","A002","양림동 역사문화마을","남구","3","0","905","259","22","306","23","86","16","3","9","99568","11","79.6","25.3","0","0","84.6","0","86","79.6","27","84.6","56.7"
"2026-06-26","A002","양림동 역사문화마을","남구","4","0","905","259","22","306","23","86","16","3","9","97608","11","77.6","20.8","0","0","84.7","0","86","77.6","27","84.7","56.2"
"2026-06-27","A002","양림동 역사문화마을","남구","5","1","905","259","22","306","23","86","16","4","9","104076","11","84.2","21.1","0","0","85.2","0","86","84.2","36","85.2","58.9"
"2026-06-28","A002","양림동 역사문화마을","남구","6","1","905","259","22","306","23","86","16","4","9","102116","11","82.2","21.4","0","0","85.6","0","86","82.2","36","85.6","58.5"
"2026-06-29","A002","양림동 역사문화마을","남구","0","0","905","259","22","306","23","86","16","3","9","94864","11","74.8","21.8","18.9","1","51.2","0","86","74.8","27","51.2","48.8"
"2026-05-01","A003","국립아시아문화전당 주변","동구","4","0","3417","842","89","1191","63","93","13","11","12","158632","20.5","95.4","23","0","0","88","76.2","93","95.4","99","88","89"
"2026-05-02","A003","국립아시아문화전당 주변","동구","5","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.3","5.8","1","64.3","76.2","93","100","100","64.3","85.5"
"2026-05-03","A003","국립아시아문화전당 주변","동구","6","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.6","0","0","87.1","76.2","93","100","100","87.1","90.1"
"2026-05-04","A003","국립아시아문화전당 주변","동구","0","0","3417","842","89","1191","63","93","13","11","12","156736","20.5","94.2","24","0","0","86.5","76.2","93","94.2","99","86.5","88.4"
"2026-05-05","A003","국립아시아문화전당 주변","동구","1","0","3417","842","89","1191","63","93","13","11","12","159896","20.5","96.2","24.3","0","0","86","76.2","93","96.2","99","86","88.8"
"2026-05-06","A003","국립아시아문화전당 주변","동구","2","0","3417","842","89","1191","63","93","13","11","12","157368","20.5","94.6","24.7","0","0","85.4","76.2","93","94.6","99","85.4","88.3"
"2026-05-07","A003","국립아시아문화전당 주변","동구","3","0","3417","842","89","1191","63","93","13","11","12","160528","20.5","96.6","25","0","0","85","76.2","93","96.6","99","85","88.7"
"2026-05-08","A003","국립아시아문화전당 주변","동구","4","0","3417","842","89","1191","63","93","13","11","12","154208","20.5","92.6","25.4","7.6","1","59.6","76.2","93","92.6","99","59.6","82.6"
"2026-05-09","A003","국립아시아문화전당 주변","동구","5","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","25.8","0","0","83.8","76.2","93","100","100","83.8","89.4"
"2026-05-10","A003","국립아시아문화전당 주변","동구","6","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","26.1","0","0","83.4","76.2","93","100","100","83.4","89.3"
"2026-05-11","A003","국립아시아문화전당 주변","동구","0","0","3417","842","89","1191","63","93","13","11","12","156104","20.5","93.8","26.4","0","0","82.9","76.2","93","93.8","99","82.9","87.6"
"2026-05-12","A003","국립아시아문화전당 주변","동구","1","0","3417","842","89","1191","63","93","13","11","12","159264","20.5","95.8","26.8","0","0","82.3","76.2","93","95.8","99","82.3","88"
"2026-05-13","A003","국립아시아문화전당 주변","동구","2","0","3417","842","89","1191","63","93","13","11","12","152944","20.5","91.8","27.2","7.6","1","56.9","76.2","93","91.8","99","56.9","81.9"
"2026-05-14","A003","국립아시아문화전당 주변","동구","3","0","3417","842","89","1191","63","93","13","11","12","159896","20.5","96.2","27.5","0","0","81.2","76.2","93","96.2","99","81.2","87.8"
"2026-05-15","A003","국립아시아문화전당 주변","동구","4","0","3417","842","89","1191","63","93","13","11","12","157368","20.5","94.6","23","0","0","88","76.2","93","94.6","99","88","88.8"
"2026-05-16","A003","국립아시아문화전당 주변","동구","5","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.3","0","0","87.6","76.2","93","100","100","87.6","90.2"
"2026-05-17","A003","국립아시아문화전당 주변","동구","6","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.6","0","0","87.1","76.2","93","100","100","87.1","90.1"
"2026-05-18","A003","국립아시아문화전당 주변","동구","0","0","3417","842","89","1191","63","93","13","11","12","155472","20.5","93.4","24","0","0","86.5","76.2","93","93.4","99","86.5","88.2"
"2026-05-19","A003","국립아시아문화전당 주변","동구","1","0","3417","842","89","1191","63","93","13","11","12","154840","20.5","93","24.3","9.4","1","59.6","76.2","93","93","99","59.6","82.7"
"2026-05-20","A003","국립아시아문화전당 주변","동구","2","0","3417","842","89","1191","63","93","13","11","12","156104","20.5","93.8","24.7","0","0","85.4","76.2","93","93.8","99","85.4","88.1"
"2026-05-21","A003","국립아시아문화전당 주변","동구","3","0","3417","842","89","1191","63","93","13","11","12","159264","20.5","95.8","25","0","0","85","76.2","93","95.8","99","85","88.5"
"2026-05-22","A003","국립아시아문화전당 주변","동구","4","0","3417","842","89","1191","63","93","13","11","12","156736","20.5","94.2","25.4","0","0","84.4","76.2","93","94.2","99","84.4","88"
"2026-05-23","A003","국립아시아문화전당 주변","동구","5","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","25.8","0","0","83.8","76.2","93","100","100","83.8","89.4"
"2026-05-24","A003","국립아시아문화전당 주변","동구","6","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","26.1","9.4","1","56.9","76.2","93","100","100","56.9","84.0"
"2026-05-25","A003","국립아시아문화전당 주변","동구","0","0","3417","842","89","1191","63","93","13","11","12","160528","20.5","96.6","26.4","0","0","82.9","76.2","93","96.6","99","82.9","88.3"
"2026-05-26","A003","국립아시아문화전당 주변","동구","1","0","3417","842","89","1191","63","93","13","11","12","158000","20.5","95","26.8","0","0","82.3","76.2","93","95","99","82.3","87.8"
"2026-05-27","A003","국립아시아문화전당 주변","동구","2","0","3417","842","89","1191","63","93","13","11","12","155472","20.5","93.4","27.2","0","0","81.7","76.2","93","93.4","99","81.7","87.2"
"2026-05-28","A003","국립아시아문화전당 주변","동구","3","0","3417","842","89","1191","63","93","13","11","12","158632","20.5","95.4","27.5","0","0","81.2","76.2","93","95.4","99","81.2","87.6"
"2026-05-29","A003","국립아시아문화전당 주변","동구","4","0","3417","842","89","1191","63","93","13","11","12","156104","20.5","93.8","23","0","0","88","76.2","93","93.8","99","88","88.6"
"2026-05-30","A003","국립아시아문화전당 주변","동구","5","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.3","11.2","1","59.5","76.2","93","100","100","59.5","84.6"
"2026-05-31","A003","국립아시아문화전당 주변","동구","6","1","3417","842","89","1191","63","93","13","13","12","165900","20.5","100","23.6","0","0","87.1","76.2","93","100","100","87.1","90.1"
"2026-06-01","A003","국립아시아문화전당 주변","동구","0","0","3417","842","89","1191","63","93","13","11","12","159896","20.5","96.2","24","0","0","86.5","76.2","93","96.2","99","86.5","88.9"
"2026-06-02","A003","국립아시아문화전당 주변","동구","1","0","3417","842","89","1191","63","93","13","11","12","157368","20.5","94.6","24.3","0","0","86","76.2","93","94.6","99","86","88.4"
