date,area_id,area_name,district,area_radius_m,is_weekend,visitor_count_gu,matched_store_count,store_total,food_count,cafe_count,retail_count,accommodation_count,tourist_spot_count,event_count,temp,rain_flag,visitor_score,event_score,tourism_score,store_score,weather_score,demand_score
2026-05-10,A002,양림동 역사문화마을,남구,700,1,38170,905,905,259,22,306,23,14,3,28,0,33.47,28.57,83.33,0.0,70,38.6
2026-05-11,A002,양림동 역사문화마을,남구,700,0,29130,905,905,259,22,306,23,14,1,18,0,9.11,0.0,83.33,0.0,74,23.54
2026-05-12,A002,양림동 역사문화마을,남구,700,0,29390,905,905,259,22,306,23,14,1,19,0,9.81,0.0,83.33,0.0,76,24.02
2026-05-13,A002,양림동 역사문화마을,남구,700,0,29650,905,905,259,22,306,23,14,1,20,0,10.51,0.0,83.33,0.0,78,24.5
2026-05-14,A002,양림동 역사문화마을,남구,700,0,29910,905,905,259,22,306,23,14,1,21,0,11.21,0.0,83.33,0.0,80,24.98
2026-05-15,A002,양림동 역사문화마을,남구,700,0,28350,905,905,259,22,306,23,14,1,22,0,7.01,0.0,83.33,0.0,82,23.5
2026-05-16,A002,양림동 역사문화마을,남구,700,1,37910,905,905,259,22,306,23,14,3,24,0,32.77,28.57,83.33,0.0,78,39.12
2026-05-17,A002,양림동 역사문화마을,남구,700,1,35570,905,905,259,22,306,23,14,3,25,1,26.46,28.57,83.33,0.0,44,33.2
2026-05-18,A002,양림동 역사문화마을,남구,700,0,29130,905,905,259,22,306,23,14,1,25,0,9.11,0.0,83.33,0.0,76,23.74
2026-05-19,A002,양림동 역사문화마을,남구,700,0,29390,905,905,259,22,306,23,14,1,26,0,9.81,0.0,83.33,0.0,74,23.82
2026-05-20,A002,양림동 역사문화마을,남구,700,0,29650,905,905,259,22,306,23,14,1,27,0,10.51,0.0,83.33,0.0,72,23.9
2026-05-21,A002,양림동 역사문화마을,남구,700,0,29910,905,905,259,22,306,23,14,1,18,0,11.21,0.0,83.33,0.0,74,24.38
2026-05-22,A002,양림동 역사문화마을,남구,700,0,28350,905,905,259,22,306,23,14,1,19,0,7.01,0.0,83.33,0.0,76,22.9
2026-05-23,A002,양림동 역사문화마을,남구,700,1,37910,905,905,259,22,306,23,14,3,21,0,32.77,28.57,83.33,0.0,80,39.32
2026-05-24,A002,양림동 역사문화마을,남구,700,1,38170,905,905,259,22,306,23,14,3,22,0,33.47,28.57,83.33,0.0,82,39.8
2026-05-25,A002,양림동 역사문화마을,남구,700,0,29130,905,905,259,22,306,23,14,1,22,0,9.11,0.0,83.33,0.0,82,24.34
2026-05-26,A002,양림동 역사문화마을,남구,700,0,26790,905,905,259,22,306,23,14,1,23,1,2.8,0.0,83.33,0.0,48,18.42
2026-05-27,A002,양림동 역사문화마을,남구,700,0,29650,905,905,259,22,306,23,14,1,24,0,10.51,0.0,83.33,0.0,78,24.5
2026-05-28,A002,양림동 역사문화마을,남구,700,0,29910,905,905,259,22,306,23,14,1,25,0,11.21,0.0,83.33,0.0,76,24.58
2026-05-29,A002,양림동 역사문화마을,남구,700,0,28350,905,905,259,22,306,23,14,1,26,0,7.01,0.0,83.33,0.0,74,22.7
2026-05-30,A002,양림동 역사문화마을,남구,700,1,37910,905,905,259,22,306,23,14,3,28,0,32.77,28.57,83.33,0.0,70,38.32
2026-05-01,A003,국립아시아문화전당 주변,동구,700,0,45400,3417,3417,842,89,1191,63,16,4,18,0,52.95,42.86,100.0,73.23,74,63.14
2026-05-02,A003,국립아시아문화전당 주변,동구,700,1,56790,3417,3417,842,89,1191,63,16,8,20,0,83.64,100.0,100.0,73.23,78,87.24
2026-05-03,A003,국립아시아문화전당 주변,동구,700,1,57180,3417,3417,842,89,1191,63,16,8,21,0,84.69,100.0,100.0,73.23,80,87.86
2026-05-04,A003,국립아시아문화전당 주변,동구,700,0,46570,3417,3417,842,89,1191,63,16,4,21,0,56.1,42.86,100.0,73.23,80,65.0
2026-05-05,A003,국립아시아문화전당 주변,동구,700,0,46960,3417,3417,842,89,1191,63,16,4,22,0,57.15,42.86,100.0,73.23,82,65.62
2026-05-06,A003,국립아시아문화전당 주변,동구,700,0,47350,3417,3417,842,89,1191,63,16,4,23,0,58.21,42.86,100.0,73.23,80,65.84
2026-05-07,A003,국립아시아문화전당 주변,동구,700,0,46840,3417,3417,842,89,1191,63,16,6,24,1,56.83,71.43,100.0,73.23,46,67.6
2026-05-08,A003,국립아시아문화전당 주변,동구,700,0,47100,3417,3417,842,89,1191,63,16,6,25,0,57.53,71.43,100.0,73.23,76,70.88
2026-05-09,A003,국립아시아문화전당 주변,동구,700,1,55090,3417,3417,842,89,1191,63,16,6,27,0,79.06,71.43,100.0,73.23,72,79.1
2026-05-10,A003,국립아시아문화전당 주변,동구,700,1,55480,3417,3417,842,89,1191,63,16,6,28,0,80.11,71.43,100.0,73.23,70,79.32
2026-05-11,A003,국립아시아문화전당 주변,동구,700,0,46570,3417,3417,842,89,1191,63,16,4,18,0,56.1,42.86,100.0,73.23,74,64.4
2026-05-12,A003,국립아시아문화전당 주변,동구,700,0,48660,3417,3417,842,89,1191,63,16,6,19,0,61.74,71.43,100.0,73.23,76,72.56
2026-05-13,A003,국립아시아문화전당 주변,동구,700,0,49050,3417,3417,842,89,1191,63,16,6,20,0,62.79,71.43,100.0,73.23,78,73.19
2026-05-14,A003,국립아시아문화전당 주변,동구,700,0,47740,3417,3417,842,89,1191,63,16,4,21,0,59.26,42.86,100.0,73.23,80,66.26
2026-05-15,A003,국립아시아문화전당 주변,동구,700,0,45400,3417,3417,842,89,1191,63,16,4,22,0,52.95,42.86,100.0,73.23,82,63.94
2026-05-16,A003,국립아시아문화전당 주변,동구,700,1,52490,3417,3417,842,89,1191,63,16,6,24,1,72.06,71.43,100.0,73.23,46,73.69
2026-05-17,A003,국립아시아문화전당 주변,동구,700,1,57180,3417,3417,842,89,1191,63,16,8,25,0,84.69,100.0,100.0,73.23,76,87.46
2026-05-18,A003,국립아시아문화전당 주변,동구,700,0,48270,3417,3417,842,89,1191,63,16,6,25,0,60.68,71.43,100.0,73.23,76,72.14
2026-05-19,A003,국립아시아문화전당 주변,동구,700,0,46960,3417,3417,842,89,1191,63,16,4,26,0,57.15,42.86,100.0,73.23,74,64.82
2026-05-20,A003,국립아시아문화전당 주변,동구,700,0,47350,3417,3417,842,89,1191,63,16,4,27,0,58.21,42.86,100.0,73.23,72,65.04
2026-05-21,A003,국립아시아문화전당 주변,동구,700,0,47740,3417,3417,842,89,1191,63,16,4,18,0,59.26,42.86,100.0,73.23,74,65.66
2026-05-22,A003,국립아시아문화전당 주변,동구,700,0,47100,3417,3417,842,89,1191,63,16,6,19,0,57.53,71.43,100.0,73.23,76,70.88
2026-05-23,A003,국립아시아문화전당 주변,동구,700,1,56790,3417,3417,842,89,1191,63,16,8,21,0,83.64,100.0,100.0,73.23,80,87.44
2026-05-24,A003,국립아시아문화전당 주변,동구,700,1,55480,3417,3417,842,89,1191,63,16,6,22,0,80.11,71.43,100.0,73.23,82,80.52
2026-05-25,A003,국립아시아문화전당 주변,동구,700,0,43970,3417,3417,842,89,1191,63,16,4,22,1,49.1,42.86,100.0,73.23,50,59.2
2026-05-26,A003,국립아시아문화전당 주변,동구,700,0,46960,3417,3417,842,89,1191,63,16,4,23,0,57.15,42.86,100.0,73.23,80,65.42
2026-05-27,A003,국립아시아문화전당 주변,동구,700,0,49050,3417,3417,842,89,1191,63,16,6,24,0,62.79,71.43,100.0,73.23,78,73.19
2026-05-28,A003,국립아시아문화전당 주변,동구,700,0,49440,3417,3417,842,89,1191,63,16,6,25,0,63.84,71.43,100.0,73.23,76,73.41
2026-05-29,A003,국립아시아문화전당 주변,동구,700,0,45400,3417,3417,842,89,1191,63,16,4,26,0,52.95,42.86,100.0,73.23,74,63.14
2026-05-30,A003,국립아시아문화전당 주변,동구,700,1,55090,3417,3417,842,89,1191,63,16,6,28,0,79.06,71.43,100.0,73.23,70,78.9
2026-05-01,A004,1913 송정역시장 / 광주송정역,광산구,600,0,38200,1002,1002,305,27,349,29,9,2,18,0,33.55,14.29,41.67,5.61,74,30.77
2026-05-02,A004,1913 송정역시장 / 광주송정역,광산구,600,1,48690,1002,1002,305,27,349,29,9,5,20,0,61.82,57.14,41.67,5.61,78,51.05
2026-05-03,A004,1913 송정역시장 / 광주송정역,광산구,600,1,49030,1002,1002,305,27,349,29,9,5,21,0,62.73,57.14,41.67,5.61,80,51.61
2026-05-04,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39220,1002,1002,305,27,349,29,9,2,21,0,36.3,14.29,41.67,5.61,80,32.47
2026-05-05,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39560,1002,1002,305,27,349,29,9,2,22,0,37.21,14.29,41.67,5.61,82,33.03
2026-05-06,A004,1913 송정역시장 / 광주송정역,광산구,600,0,37300,1002,1002,305,27,349,29,9,2,23,1,31.12,14.29,41.67,5.61,48,27.2
2026-05-07,A004,1913 송정역시장 / 광주송정역,광산구,600,0,40240,1002,1002,305,27,349,29,9,2,24,0,39.05,14.29,41.67,5.61,78,33.37
2026-05-08,A004,1913 송정역시장 / 광주송정역,광산구,600,0,38200,1002,1002,305,27,349,29,9,2,25,0,33.55,14.29,41.67,5.61,76,30.97
2026-05-09,A004,1913 송정역시장 / 광주송정역,광산구,600,1,48690,1002,1002,305,27,349,29,9,5,27,0,61.82,57.14,41.67,5.61,72,50.45
2026-05-10,A004,1913 송정역시장 / 광주송정역,광산구,600,1,49030,1002,1002,305,27,349,29,9,5,28,0,62.73,57.14,41.67,5.61,70,50.61
2026-05-11,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39220,1002,1002,305,27,349,29,9,2,18,0,36.3,14.29,41.67,5.61,74,31.87
2026-05-12,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39560,1002,1002,305,27,349,29,9,2,19,0,37.21,14.29,41.67,5.61,76,32.43
2026-05-13,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39900,1002,1002,305,27,349,29,9,2,20,0,38.13,14.29,41.67,5.61,78,33.0
2026-05-14,A004,1913 송정역시장 / 광주송정역,광산구,600,0,40240,1002,1002,305,27,349,29,9,2,21,0,39.05,14.29,41.67,5.61,80,33.57
2026-05-15,A004,1913 송정역시장 / 광주송정역,광산구,600,0,35600,1002,1002,305,27,349,29,9,2,22,1,26.54,14.29,41.67,5.61,50,25.57
2026-05-16,A004,1913 송정역시장 / 광주송정역,광산구,600,1,48690,1002,1002,305,27,349,29,9,5,24,0,61.82,57.14,41.67,5.61,78,51.05
2026-05-17,A004,1913 송정역시장 / 광주송정역,광산구,600,1,49030,1002,1002,305,27,349,29,9,5,25,0,62.73,57.14,41.67,5.61,76,51.21
2026-05-18,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39220,1002,1002,305,27,349,29,9,2,25,0,36.3,14.29,41.67,5.61,76,32.07
2026-05-19,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39560,1002,1002,305,27,349,29,9,2,26,0,37.21,14.29,41.67,5.61,74,32.23
2026-05-20,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39900,1002,1002,305,27,349,29,9,2,27,0,38.13,14.29,41.67,5.61,72,32.4
2026-05-21,A004,1913 송정역시장 / 광주송정역,광산구,600,0,40240,1002,1002,305,27,349,29,9,2,18,0,39.05,14.29,41.67,5.61,74,32.97
2026-05-22,A004,1913 송정역시장 / 광주송정역,광산구,600,0,38200,1002,1002,305,27,349,29,9,2,19,0,33.55,14.29,41.67,5.61,76,30.97
2026-05-23,A004,1913 송정역시장 / 광주송정역,광산구,600,1,48690,1002,1002,305,27,349,29,9,5,21,0,61.82,57.14,41.67,5.61,80,51.25
2026-05-24,A004,1913 송정역시장 / 광주송정역,광산구,600,1,46430,1002,1002,305,27,349,29,9,5,22,1,55.73,57.14,41.67,5.61,50,45.81
2026-05-25,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39220,1002,1002,305,27,349,29,9,2,22,0,36.3,14.29,41.67,5.61,82,32.67
2026-05-26,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39560,1002,1002,305,27,349,29,9,2,23,0,37.21,14.29,41.67,5.61,80,32.83
2026-05-27,A004,1913 송정역시장 / 광주송정역,광산구,600,0,39900,1002,1002,305,27,349,29,9,2,24,0,38.13,14.29,41.67,5.61,78,33.0
2026-05-28,A004,1913 송정역시장 / 광주송정역,광산구,600,0,40240,1002,1002,305,27,349,29,9,2,25,0,39.05,14.29,41.67,5.61,76,33.17
2026-05-29,A004,1913 송정역시장 / 광주송정역,광산구,600,0,38200,1002,1002,305,27,349,29,9,2,26,0,33.55,14.29,41.67,5.61,74,30.77
2026-05-30,A004,1913 송정역시장 / 광주송정역,광산구,600,1,48690,1002,1002,305,27,349,29,9,5,28,0,61.82,57.14,41.67,5.61,70,50.25
2026-05-01,A005,상무지구,서구,900,0,47200,3358,3358,1041,84,510,72,4,2,18,0,57.8,14.29,0.0,67.03,74,43.43
2026-05-02,A005,상무지구,서구,900,1,55960,3358,3358,1041,84,510,72,4,3,20,0,81.41,28.57,0.0,67.03,78,56.13
2026-05-03,A005,상무지구,서구,900,1,56270,3358,3358,1041,84,510,72,4,3,21,0,82.24,28.57,0.0,67.03,80,56.66
2026-05-04,A005,상무지구,서구,900,0,47280,3358,3358,1041,84,510,72,4,1,21,0,58.02,0.0,0.0,67.03,80,41.26
2026-05-05,A005,상무지구,서구,900,0,44990,3358,3358,1041,84,510,72,4,1,22,1,51.85,0.0,0.0,67.03,50,35.79
2026-05-06,A005,상무지구,서구,900,0,47900,3358,3358,1041,84,510,72,4,1,23,0,59.69,0.0,0.0,67.03,80,41.93
2026-05-07,A005,상무지구,서구,900,0,49060,3358,3358,1041,84,510,72,4,2,24,0,62.81,14.29,0.0,67.03,78,45.84
2026-05-08,A005,상무지구,서구,900,0,47200,3358,3358,1041,84,510,72,4,2,25,0,57.8,14.29,0.0,67.03,76,43.63
2026-05-09,A005,상무지구,서구,900,1,55960,3358,3358,1041,84,510,72,4,3,27,0,81.41,28.57,0.0,67.03,72,55.53
2026-05-10,A005,상무지구,서구,900,1,56270,3358,3358,1041,84,510,72,4,3,28,0,82.24,28.57,0.0,67.03,70,55.66
2026-05-11,A005,상무지구,서구,900,0,47280,3358,3358,1041,84,510,72,4,1,18,0,58.02,0.0,0.0,67.03,74,40.66
2026-05-12,A005,상무지구,서구,900,0,47590,3358,3358,1041,84,510,72,4,1,19,0,58.85,0.0,0.0,67.03,76,41.19
2026-05-13,A005,상무지구,서구,900,0,47900,3358,3358,1041,84,510,72,4,1,20,0,59.69,0.0,0.0,67.03,78,41.73
2026-05-14,A005,상무지구,서구,900,0,46460,3358,3358,1041,84,510,72,4,2,21,1,55.81,14.29,0.0,67.03,48,40.03
2026-05-15,A005,상무지구,서구,900,0,47200,3358,3358,1041,84,510,72,4,2,22,0,57.8,14.29,0.0,67.03,82,44.23
2026-05-16,A005,상무지구,서구,900,1,55960,3358,3358,1041,84,510,72,4,3,24,0,81.41,28.57,0.0,67.03,78,56.13
2026-05-17,A005,상무지구,서구,900,1,56270,3358,3358,1041,84,510,72,4,3,25,0,82.24,28.57,0.0,67.03,76,56.26
2026-05-18,A005,상무지구,서구,900,0,47280,3358,3358,1041,84,510,72,4,1,25,0,58.02,0.0,0.0,67.03,76,40.86
2026-05-19,A005,상무지구,서구,900,0,47590,3358,3358,1041,84,510,72,4,1,26,0,58.85,0.0,0.0,67.03,74,40.99
2026-05-20,A005,상무지구,서구,900,0,47900,3358,3358,1041,84,510,72,4,1,27,0,59.69,0.0,0.0,67.03,72,41.13
2026-05-21,A005,상무지구,서구,900,0,49060,3358,3358,1041,84,510,72,4,2,18,0,62.81,14.29,0.0,67.03,74,45.44
2026-05-22,A005,상무지구,서구,900,0,47200,3358,3358,1041,84,510,72,4,2,19,0,57.8,14.29,0.0,67.03,76,43.63
2026-05-23,A005,상무지구,서구,900,1,53360,3358,3358,1041,84,510,72,4,3,21,1,74.4,28.57,0.0,67.03,48,50.33
2026-05-24,A005,상무지구,서구,900,1,56270,3358,3358,1041,84,510,72,4,3,22,0,82.24,28.57,0.0,67.03,82,56.86
2026-05-25,A005,상무지구,서구,900,0,47280,3358,3358,1041,84,510,72,4,1,22,0,58.02,0.0,0.0,67.03,82,41.46
2026-05-26,A005,상무지구,서구,900,0,47590,3358,3358,1041,84,510,72,4,1,23,0,58.85,0.0,0.0,67.03,80,41.59
2026-05-27,A005,상무지구,서구,900,0,47900,3358,3358,1041,84,510,72,4,1,24,0,59.69,0.0,0.0,67.03,78,41.73
2026-05-28,A005,상무지구,서구,900,0,49060,3358,3358,1041,84,510,72,4,2,25,0,62.81,14.29,0.0,67.03,76,45.64
2026-05-29,A005,상무지구,서구,900,0,47200,3358,3358,1041,84,510,72,4,2,26,0,57.8,14.29,0.0,67.03,74,43.43
2026-05-30,A005,상무지구,서구,900,1,55960,3358,3358,1041,84,510,72,4,3,28,0,81.41,28.57,0.0,67.03,70,55.33
